registration_no,project_name,document_name,file_name,uploaded_date,blob_url
UPRERAPRJ125561,Mahagun Medalleo,Details of Encumbrances,PRJ84397531EncumbranceReport.pdf,22-09-2022,https://upreradisk.blob.core.windows.net/azureportaldeploy/PRJ84397531EncumbranceReport.pdf
UPRERAPRJ125561,Mahagun Medalleo,Commencement Certificate,PRJ57397531SanctionedLetter_MahagunMedalleo.PDF,09-09-2022,https://upreradisk.blob.core.windows.net/azureportaldeploy/PRJ57397531SanctionedLetter_MahagunMedalleo.PDF
UPRERAPRJ125561,Mahagun Medalleo,Other Plan(If Any),PRJ83397531FIRE_NOC_MahagunMedalleo.pdf,22-09-2022,https://upreradisk.blob.core.windows.net/azureportaldeploy/PRJ83397531FIRE_NOC_MahagunMedalleo.pdf
UPRERAPRJ125561,Mahagun Medalleo,Proforma of Application Form,PRJ90397531Draft_ProformaApplication_BookingForm.pdf,07-09-2022,https://upreradisk.blob.core.windows.net/azureportaldeploy/PRJ90397531Draft_ProformaApplication_BookingForm.pdf
UPRERAPRJ125561,Mahagun Medalleo,Proforma of Allotment Letter,PRJ70397531Draft_Allotment_ATS_Proforma.pdf,07-09-2022,https://upreradisk.blob.core.windows.net/azureportaldeploy/PRJ70397531Draft_Allotment_ATS_Proforma.pdf
UPRERAPRJ125561,Mahagun Medalleo,Proforma of Conveyance Deed,PRJ61397531Draft_ProformaConveyance_SubLeaseDeed.pdf,07-09-2022,https://upreradisk.blob.core.windows.net/azureportaldeploy/PRJ61397531Draft_ProformaConveyance_SubLeaseDeed.pdf
UPRERAPRJ125561,Mahagun Medalleo,Proforma of Completion Certificate(Occupancy),PRJ14397531Proforma_OC_OccupancyCertificateNoida.pdf,07-09-2022,https://upreradisk.blob.core.windows.net/azureportaldeploy/PRJ14397531Proforma_OC_OccupancyCertificateNoida.pdf
UPRERAPRJ125561,Mahagun Medalleo,Waste Disposal Plan,PRJ98397531WasteDisposalPlan.pdf,07-09-2022,https://upreradisk.blob.core.windows.net/azureportaldeploy/PRJ98397531WasteDisposalPlan.pdf
UPRERAPRJ125561,Mahagun Medalleo,Water Supply Plan,PRJ74397531WaterSupplyPlan_MahagunMedalleo.pdf,24-09-2022,https://upreradisk.blob.core.windows.net/azureportaldeploy/PRJ74397531WaterSupplyPlan_MahagunMedalleo.pdf
UPRERAPRJ125561,Mahagun Medalleo,Electricity Supply Plan,PRJ60397531ELECTRICAL_SUPPLY_DRAWING.PDF,07-09-2022,https://upreradisk.blob.core.windows.net/azureportaldeploy/PRJ60397531ELECTRICAL_SUPPLY_DRAWING.PDF
UPRERAPRJ125561,Mahagun Medalleo,Development Work Plan,PRJ96397531Development_Works_Plan.pdf,07-09-2022,https://upreradisk.blob.core.windows.net/azureportaldeploy/PRJ96397531Development_Works_Plan.pdf
UPRERAPRJ125561,Mahagun Medalleo,Affidavit (Form-B),PRJ28397531Form_B_Affidavit_07_09_2029.pdf,22-09-2022,https://upreradisk.blob.core.windows.net/azureportaldeploy/PRJ28397531Form_B_Affidavit_07_09_2029.pdf
UPRERAPRJ125561,Mahagun Medalleo,CA CERTIFICATE,PRJ76397531CA_Certificate_RERA_Certificate.pdf,22-09-2022,https://upreradisk.blob.core.windows.net/azureportaldeploy/PRJ76397531CA_Certificate_RERA_Certificate.pdf
UPRERAPRJ125561,Mahagun Medalleo,ARCHITECT CERTIFICATE,PRJ87397531ArchitectCertificate_Rera_31.08.2022.pdf,06-09-2022,https://upreradisk.blob.core.windows.net/azureportaldeploy/PRJ87397531ArchitectCertificate_Rera_31.08.2022.pdf
UPRERAPRJ125561,Mahagun Medalleo,ENGINEERS CERTIFICATE,PRJ20397531EngineerCertificate_Rera_31.08.2022.pdf,06-09-2022,https://upreradisk.blob.core.windows.net/azureportaldeploy/PRJ20397531EngineerCertificate_Rera_31.08.2022.pdf
UPRERAPRJ125561,Mahagun Medalleo,Other,PRJ65397531Affidavit_Point_7_of_ObjectionLetter.pdf,22-09-2022,https://upreradisk.blob.core.windows.net/azureportaldeploy/PRJ65397531Affidavit_Point_7_of_ObjectionLetter.pdf
