sno,registration_no,project_name,promoter_name,district,project_type
1,UPRERAPRJ918,ATS ALLURE,ATS Realty Private Limited,Gautam Buddha Nagar,Residential
2,UPRERAPRJ4115,ATS RHAPSODY,ATS Township Private Limited,Gautam Buddha Nagar,Residential
3,UPRERAPRJ9414,Supertech Czar,SUPERTECH LIMITED,Gautam Buddha Nagar,Residential
4,UPRERAPRJ574384,"""1st - A Park View"" -  Gaur Yamuna City",Gaursons Realtech Private Limited,Gautam Buddha Nagar,Residential
5,UPRERAPRJ235739,"""1st - B Park View"" -  Gaur Yamuna City",Gaursons Realtech Private Limited,Gautam Buddha Nagar,Residential
6,UPRERAPRJ6742,14th Avenue (Group Housing) - Gaur City,Gaursons Promoters Private Limited,Gautam Buddha Nagar,Residential
7,UPRERAPRJ8242,168Xaviers - Cambridge and Crystal,OPULENT INFRADEVELOPERS PRIVATE LIMITED,Gautam Buddha Nagar,Residential
8,UPRERAPRJ6754,168Xaviers - MARIOTT TOWER,OPULENT INFRADEVELOPERS PRIVATE LIMITED,Gautam Buddha Nagar,Residential
9,UPRERAPRJ6801,16th Parkview - Gaur Yamuna City,Gaursons Realtech Private Limited,Gautam Buddha Nagar,Residential
10,UPRERAPRJ4464,2nd Parkview,Gaursons Realtech Private Limited,Gautam Buddha Nagar,Residential
11,UPRERAPRJ4193,32nd Parkview,Gaursons Realtech Private Limited,Gautam Buddha Nagar,Residential
12,UPRERAPRJ16103,3rd PARK VIEW - GAUR YAMUNA CITY,Gaursons Realtech Private Limited,Gautam Buddha Nagar,Residential
13,UPRERAPRJ538911,4th Parkview - Gaur Yamuna City,Gaursons Realtech Private Limited,Gautam Buddha Nagar,Residential
14,UPRERAPRJ7156,52nd Avenue (Phase-I),MMR Saha Infrastructure Private Limited,Gautam Buddha Nagar,Commercial
15,UPRERAPRJ15838,6th Parkview (Gaur Yamuna City),Gaursons Realtech Private Limited,Gautam Buddha Nagar,Residential
16,UPRERAPRJ15358,73 AVENUE,M.L.Infratech,Gautam Buddha Nagar,Residential
17,UPRERAPRJ6695,7th Avenue - Gaur City,Gaursons Hi-Tech Infrastructure Private Limited,Gautam Buddha Nagar,Residential
18,UPRERAPRJ16087,7th PARK VIEW - GAUR YAMUNA CITY,Gaursons Realtech Private Limited,Gautam Buddha Nagar,Residential
19,UPRERAPRJ7085,AARADHYAM GOLF HOMES,CLOVER PROBUILD PRIVATE LIMITED,Gautam Buddha Nagar,Residential
20,UPRERAPRJ6602,AARZA SQUARE-1,AARZA INFRATECH PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
